estado	municipio	parroquia	centro	cod_centro	votosGPP2017	votosMUD2017	votosOTHER2017	votantesx2017	nulos2017	no_sustituidos_sum2017	reubicado_g2017	turnout2017	abstention2017	MUDshare2017	validos2017	votantes2015	abstencion2015	turnout2015	MUDshare2015	MUDshare2013	MCMshare2012
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"LICEO NACIONAL DOCTOR RAFAEL ANTONIO FERNÃNDEZ PADILLA"	"020301026"	1003	1738	34	4283	1	0	0	.6481438	.3518562	.3614414	2775	3412	.1862628	.8137372	.704878	.6209607	.0341656
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA NACIONAL PRIMARIA DOCTOR JOSÃ MARIA VARGAS"	"020301027"	1667	1366	44	4791	4	0	0	.6430808	.3569192	.5417615	3077	3625	.227573	.772427	.5568116	.4594741	.0206186
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA BASICA NACIONAL CREACION BARCELONA"	"020301028"	903	1251	26	3312	1	0	0	.6585145	.3414855	.4142202	2180	2663	.2029333	.7970667	.6291875	.5527145	.0230978
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA NACIONAL TRONCONAL II"	"020301029"	1047	1547	30	4109	3	0	0	.6393283	.3606717	.3990091	2624	3160	.2156863	.7843137	.6505394	.5513906	.0187735
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CASA DE LOS NIÃOS GENERAL  JOSE ANTONIO ANZOATEGUI"	"020301030"	1136	1277	54	4020	2	0	0	.6141791	.3858209	.4604783	2467	3162	.210684	.7893161	.6232359	.4995478	.0349819
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"LICEO BOLIVARIANO DOCTOR JESÃS MARIA BIANCO"	"020301031"	1292	1195	33	3943	7	0	0	.6408826	.3591174	.5126984	2520	3007	.2281827	.7718173	.5719274	.4533803	.02457
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA  BÃSICA RÃMULO GALLEGOS"	"020301032"	1158	1246	33	3735	5	0	0	.6538153	.3461847	.4751744	2437	2859	.2287564	.7712436	.5983994	.4591133	.0117925
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"PRE-ESCOLAR EZPELOSIN UNIDAD NUMERO 7"	"020301033"	381	377	16	1118	1	0	0	.6932021	.3067979	.4922481	774	904	.2	.8	.546697	.4817204	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA NACIONAL JESUS RAFAEL VALLADARES GIL TRONCONAL III-B"	"020301034"	1135	712	34	3015	0	0	0	.6238806	.3761194	.6034024	1881	2271	.236382	.763618	.4905834	.3662988	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL GENERAL JOSÃ ANTONIO ANZOÃTEGUI"	"020301035"	508	641	21	1648	1	0	0	.7105582	.2894418	.434188	1170	1361	.1756511	.8243489	.6163328	.5445256	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA BASICA EL ESFUERZO II"	"020301036"	753	454	13	2016	3	0	0	.6066468	.3933532	.6172131	1220	1428	.2776935	.7223065	.552138	.4474393	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL SIMONCITO TRONCONAL V"	"020301037"	527	670	13	1796	0	0	0	.6737194	.3262806	.4355372	1210	1482	.1729911	.827009	.6075683	.5267175	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"CENTRO DE EDUCACION INICIAL MENCA DE LEONI"	"020301040"	433	701	21	1736	9	0	0	.6705069	.3294931	.3748918	1155	1312	.2300469	.7699531	.6897638	.6086956	.0225806
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"ESCUELA CONCENTRADA LA PRADERA"	"020301043"	298	160	8	681	1	0	0	.6857563	.3142437	.639485	466	542	.2076023	.7923977	.4124514	.3053097	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"UNIDAD EDUCATIVA JOSE RAMON CAMEJO"	"020301044"	646	840	33	2106	3	0	0	.7226971	.2773029	.4252798	1519	1785	.1237113	.8762887	.5996513	.5225921	
"EDO. ANZOATEGUI"	"MP. BOLIVAR"	"PQ. EL CARMEN"	"INSTITUTO UNIVERSITARIO DE TECNOLOGIA JUAN PABLO PEREZ ALFONZO"	"020301045"	535	1075	23	2486	5	0	0	.6588898	.3411102	.3276179	1633	2053	.1463618	.8536382	.7165156	.642246	.0298661
